Source_DID,Target_DID,Weight,Source_Handle,Target_Handle
did:plc:225jifwqatcawcqpo2jjmx5h,did:plc:chw77zmiryitfv34m6aavu5b,1,thunderpuppy.bsky.social,caffeinerabbit.bsky.social
did:plc:22dmmdkvuirlegbzpkbalz2u,did:plc:baqegknyonql3dppy43lqaeg,1,cdbackslash.bsky.social,harrisongrimm.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:4qvo7i5qhu73nn24paiss574,1,jmcdonaldsa.bsky.social,artmoreorless.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:7cncf7vvk7ynv4af3fxqs42d,1,jmcdonaldsa.bsky.social,brews2you.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:bhw5yjxeuypdonvanjqtvktu,1,jmcdonaldsa.bsky.social,illiniandramsalum.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:bvcrz2qufnqt5urvre6kugpa,1,jmcdonaldsa.bsky.social,parkusaurelius.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:uxs7ldv3o7dgf2zuvw6j4dbx,1,jmcdonaldsa.bsky.social,andirant.bsky.social
did:plc:22fudzaxnal4ddodzv2o6mwk,did:plc:x5ws4443357brulpdp7zl2qt,1,jmcdonaldsa.bsky.social,mikefinger.bsky.social
did:plc:22hbx4swrzrxeucjsk2rco3d,did:plc:sa73fbx3vxzh2fw5pu5wmief,1,ecotype.bsky.social,shamsbot.bsky.social
did:plc:22jk6fbbgwlrwmfiqufttb6s,did:plc:paf4vetn26bu7uggsie3vyrc,1,gregoryellwood.bsky.social,lawmurraythenu.bsky.social
did:plc:22ldsy44lwl6nclmraoydmyw,did:plc:pgrqrtjyigyi3h4ygzkhxwkj,1,doriancowens.bsky.social,mikevorkunov.bsky.social
did:plc:22ofu7bn6nf2m3kayhnp7zjg,did:plc:chmvzeuweuj4cisev5g4wplr,1,virginiabarksdale.bsky.social,ericnewsom.bsky.social
did:plc:22qsp5tnmclxudjvj5rnnjbz,did:plc:fgpyya4en5thfmi6usrr3kvv,1,deathcab4cody.bsky.social,jasonkirk.fyi
did:plc:235pwr5buvyj2kifvaccfksc,did:plc:26375peygwnrijoepmy2fdcs,1,homerophile.bsky.social,washingtonstatestandard.com
did:plc:23t725qkk6rljv7trq44zevf,did:plc:sa73fbx3vxzh2fw5pu5wmief,1,marcflashgordon.bsky.social,shamsbot.bsky.social
did:plc:23u5spimd5z6e3gqesxmisqo,did:plc:33yuttg43domt6gyddetilkn,1,peteirelandfilm.bsky.social,nodunks.com
did:plc:24c6v4sjk6iipw6xh56kuj67,did:plc:qqdqgzpqwyho4cxzso62m54q,1,davehogg.bsky.social,juliedicaro.bsky.social
did:plc:24hwc6hdiu4mt2w37khyswmx,did:plc:pezatpmjsh7geayoy6kf7mrs,1,schaefs63.bsky.social,kupobeer.bsky.social
did:plc:24sgxdlbxabrqazkrz4awpc5,did:plc:erllukadmy4yp62dp5wa2qxg,1,thecorlew.bsky.social,jgfromnp.bsky.social
did:plc:24vamwey7xqubg62vjuaykvi,did:plc:sa73fbx3vxzh2fw5pu5wmief,1,willbully.bsky.social,shamsbot.bsky.social
did:plc:24zszjipyojx65iq3mjppzjc,did:plc:aybotarrzwf3by4mhvtzyk5b,1,coachjet.bsky.social,benschleuss.bsky.social
did:plc:24zszjipyojx65iq3mjppzjc,did:plc:b6v54l7vnitivlnyqekh47xd,2,coachjet.bsky.social,tiwindisch.gspn.info
did:plc:24zszjipyojx65iq3mjppzjc,did:plc:bp4dtumwoyfjweif5m6ed7ey,2,coachjet.bsky.social,irishryan.bsky.social
did:plc:24zszjipyojx65iq3mjppzjc,did:plc:gr4daz6qrh7fswoo2rqnjaof,1,coachjet.bsky.social,stpaultim.bsky.social
did:plc:24zszjipyojx65iq3mjppzjc,did:plc:sa73fbx3vxzh2fw5pu5wmief,1,coachjet.bsky.social,shamsbot.bsky.social
